property_type,price_aprox_usd,surface_total_in_m2,borough,lat,lon
apartment,39524.23,53.0,Xochimilco,,
house,151671.87,,La Magdalena Contreras,,
apartment,283980.14,,Miguel Hidalgo,19.43475,-99.189814
apartment,34201.63,55.0,Xochimilco,19.2572314,-99.1029664
apartment,77449.13,,Benito Juárez,19.382768,-99.165454
apartment,59008.86,,Azcapotzalco,19.473486,-99.185753
house,134350.53,,Miguel Hidalgo,19.434723,-99.175887
apartment,83007.91,62.0,Venustiano Carranza,19.4214889,-99.0999336
store,79029.72,0.0,Benito Juárez,,
house,1317474.45,1320.0,Álvaro Obregón,19.320576,-99.20929
apartment,1850000.0,1617.0,Miguel Hidalgo,19.4351096398,-99.2149114609
apartment,68070.93,,Iztacalco,19.400731,-99.125466
apartment,257448.46,66.0,Cuauhtémoc,19.4151638,-99.1789099
apartment,41680.96,,Miguel Hidalgo,19.449997,-99.18117
apartment,47628.58,,Azcapotzalco,19.49662,-99.185876
apartment,125000.0,0.0,Tulum,20.1923208742,-87.4630326033
apartment,158753.59,,Benito Juárez,19.381691,-99.158135
apartment,52100.61,,Cuauhtémoc,19.456439,-99.144414
house,280196.15,,Álvaro Obregón,19.320067,-99.203696
apartment,65639.89,,Cuauhtémoc,19.410553,-99.133858
apartment,58418.35,,Gustavo A. Madero,19.475745,-99.095737
apartment,433098.7,,Benito Juárez,23.634501,-102.552788
apartment,75375.23,,Azcapotzalco,19.465454,-99.162665
apartment,233177.2,,Cuauhtémoc,19.407187,-99.172405
apartment,1380000.0,,Miguel Hidalgo,19.401079,-99.24807
house,116173.69,,Álvaro Obregón,19.367215,-99.222138
apartment,298776.85,94.0,Benito Juárez,19.362864,-99.173988
apartment,61626.9,,Benito Juárez,19.39942,-99.141673
apartment,25342.19,,Iztapalapa,19.383948,-99.067884
house,126447.56,,Tlalpan,19.276082,-99.166208
apartment,81664.04,,Benito Juárez,19.382094,-99.144152
apartment,39078.61,,Cuauhtémoc,19.451919,-99.131919
apartment,86858.35,,Álvaro Obregón,19.386852,-99.194748
apartment,8429837.4,350.0,Cuajimalpa de Morelos,19.3470575,-99.2965778
apartment,26265.79,,Gustavo A. Madero,19.466954,-99.117546
apartment,165000.0,136.0,Solidaridad,20.65593,-87.05368
house,39040.68,,Álvaro Obregón,19.380474,-99.245664
house,231775.37,,Miguel Hidalgo,19.432901,-99.213075
apartment,26343.24,,Coyoacán,19.365467,-99.196621
apartment,832413.25,427.0,Benito Juárez,21.129547,-86.817017
apartment,1306010.0,,Miguel Hidalgo,,
apartment,46954.78,,Álvaro Obregón,19.378533,-99.187561
apartment,47417.83,,Gustavo A. Madero,19.469689,-99.085457
apartment,48998.42,,Xochimilco,19.264168,-99.119228
apartment,115910.26,,Benito Juárez,19.38512,-99.164668
house,131294.71,,La Magdalena Contreras,19.304126,-99.244775
apartment,104727.3,300.0,Benito Juárez,21.146414,-86.843369
apartment,413686.97,206.0,Miguel Hidalgo,,
apartment,26957.09,,Venustiano Carranza,19.421296,-99.06582
apartment,22918.62,,Iztapalapa,19.326215,-99.044148
house,59579.87,,Tlalpan,19.283032,-99.22548
apartment,109061.02,,Coyoacán,19.349449,-99.147779
apartment,18719.5,,Tláhuac,19.302192,-99.049333
apartment,202004.66,83.0,Benito Juárez,19.3924296,-99.1584618
apartment,37442.54,,Azcapotzalco,19.504985,-99.208557
house,790484.67,429.0,Álvaro Obregón,19.3440464,-99.2162263
house,116412.04,146.0,Coyoacán,19.3437444,-99.1561883
house,43213.16,41.0,Benito Juárez,19.3670983,-99.1624422
apartment,129655.0,,Azcapotzalco,19.469769,-99.157379
apartment,95257.16,,Álvaro Obregón,19.396247,-99.190282
apartment,209692.2,,Benito Juárez,19.375847,-99.159897
house,105372.96,,Miguel Hidalgo,19.467096,-99.209984
apartment,35278.86,,Gustavo A. Madero,19.525082,-99.144372
apartment,62433.48,,Coyoacán,19.346767,-99.123658
apartment,52159.61,,Gustavo A. Madero,19.469681,-99.086136
apartment,652936.65,357.0,Miguel Hidalgo,,
apartment,311314.52,101.0,Cuauhtémoc,19.4152179,-99.1790121
apartment,301965.14,112.0,Miguel Hidalgo,,
apartment,28076.1,,Venustiano Carranza,19.413523,-99.096141
apartment,368805.38,217.0,Cuajimalpa de Morelos,,
house,239780.35,,Iztacalco,,
apartment,26027.12,,Miguel Hidalgo,19.404918,-99.1978
house,61481.78,,Gustavo A. Madero,19.456919,-99.105499
apartment,318226.36,,Benito Juárez,,
house,289775.66,,Azcapotzalco,19.464928,-99.180214
house,416321.92,391.0,Coyoacán,,
apartment,98523.72,,Miguel Hidalgo,19.443357,-99.207884
store,247685.19,175.0,Cuauhtémoc,19.412235,-99.129707
apartment,727073.47,,Miguel Hidalgo,19.424444,-99.217088
apartment,170372.28,0.0,Benito Juárez,19.3923907,-99.1580693
apartment,1950000.0,0.0,Miguel Hidalgo,19.3908901686,-99.2645967007
apartment,155461.98,0.0,Benito Juárez,,
apartment,145461.63,66.0,Benito Juárez,19.3807986,-99.1560623
apartment,91147.61,,Benito Juárez,19.399831,-99.149236
apartment,750782.39,,Miguel Hidalgo,23.634501,-102.552788
house,122232.64,,Cuauhtémoc,19.451801,-99.153199
house,267921.6,220.0,Benito Juárez,21.0983813,-86.867206
apartment,7825.79,48.0,Tláhuac,19.2834536638,-99.0550169349
apartment,23355.39,,Iztacalco,19.397303,-99.123867
PH,384494.95,176.0,Benito Juárez,19.3699084,-99.1452148
house,63808.6,,Tláhuac,19.307883,-99.056719
apartment,197100.13,,Benito Juárez,19.380937,-99.179545
